strain	genbank	date	country	region	division	location	length	host	host_type	lineage	authors	date_submitted
PP_002NHCE.1	PP_002NHCE.1	2014-05-19	Argentina				15212	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NJ3X.1	PP_002NJ3X.1	2014-07-07	Argentina				15212	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NHRM.1	PP_002NHRM.1	2014-06-11	Argentina				15212	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NHG6.1	PP_002NHG6.1	2014-06-02	Argentina				15212	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NHPR.1	PP_002NHPR.1	2014-06-09	Argentina				15212	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NH12.1	PP_002NH12.1	2014-01-30	Argentina				15221	Homo sapiens	Human	B.D.1.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NJCD.1	PP_002NJCD.1	2014-09-15	Argentina				15209	Homo sapiens	Human	B.D.1.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NHUF.1	PP_002NHUF.1	2014-06-16	Argentina				15209	Homo sapiens	Human	B.D.1.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NHKZ.1	PP_002NHKZ.1	2014-06-03	Argentina				15207	Homo sapiens	Human	B.D.1.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NJBF.1	PP_002NJBF.1	2014-08-19	Argentina				15218	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NHH3.1	PP_002NHH3.1	2014-06-02	Argentina				15211	Homo sapiens	Human	B.D.4	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NJ9K.1	PP_002NJ9K.1	2014-08-14	Argentina				15211	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NHY7.1	PP_002NHY7.1	2014-06-30	Argentina				15211	Homo sapiens	Human	B.D.4	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NJTG.1	PP_002NJTG.1	2015-06-03	Argentina				15214	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKE8.1	PP_002NKE8.1	2015-07-20	Argentina				15213	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NK6Q.1	PP_002NK6Q.1	2015-06-26	Argentina				15212	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKDA.1	PP_002NKDA.1	2015-07-17	Argentina				15212	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NJUE.1	PP_002NJUE.1	2015-06-03	Argentina				15211	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NJX8.1	PP_002NJX8.1	2015-06-12	Argentina				15211	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NJRL.1	PP_002NJRL.1	2015-06-02	Argentina				15210	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NJG5.1	PP_002NJG5.1	2015-05-14	Argentina				15205	Homo sapiens	Human	B.D.1.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_00274ZF.1	PP_00274ZF.1	2015-06-26	Argentina				15049	Homo sapiens	Human	B.D.1.1	Goya, S.; Valinotto, L. E.; Tittarelli, E.; Rojo, G. L.; Nabaes Jodar, M. S.; Greninger, A. L.; Zaiat, J. J.; Marti, M. A.; Mistchenko, A. S.; Viegas, M.	2018-07-25
PP_002NJH2.1	PP_002NJH2.1	2015-05-18	Argentina				15213	Homo sapiens	Human	B.D.4	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKG4.1	PP_002NKG4.1	2015-07-28	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKH1.1	PP_002NKH1.1	2015-07-29	Argentina				15210	Homo sapiens	Human	B.D.4	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKBE.1	PP_002NKBE.1	2015-07-10	Argentina				15210	Homo sapiens	Human	B.D.4	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NK02.1	PP_002NK02.1	2015-06-22	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NJNS.1	PP_002NJNS.1	2015-05-27	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NJY6.1	PP_002NJY6.1	2015-06-19	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NK5S.1	PP_002NK5S.1	2015-06-24	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NK2Y.1	PP_002NK2Y.1	2015-06-23	Argentina				15209	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NK10.1	PP_002NK10.1	2015-06-22	Argentina				15209	Homo sapiens	Human	B.D.4	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKCC.1	PP_002NKCC.1	2015-07-13	Argentina				15209	Homo sapiens	Human	B.D.4	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKLV.1	PP_002NKLV.1	2016-04-13	Argentina				15213	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NL9H.1	PP_002NL9H.1	2016-06-08	Argentina				15201	Homo sapiens	Human	B.D	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NLSG.1	PP_002NLSG.1	2016-08-02	Argentina				15216	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKMT.1	PP_002NKMT.1	2016-04-18	Argentina				15213	Homo sapiens	Human	B.D.4.1.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NL3V.1	PP_002NL3V.1	2016-06-06	Argentina				15212	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NLE7.1	PP_002NLE7.1	2016-06-21	Argentina				15212	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NL5R.1	PP_002NL5R.1	2016-06-06	Argentina				15212	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKTF.1	PP_002NKTF.1	2016-05-23	Argentina				15211	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NLD9.1	PP_002NLD9.1	2016-06-15	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKRK.1	PP_002NKRK.1	2016-05-06	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKUD.1	PP_002NKUD.1	2016-05-24	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NLCB.1	PP_002NLCB.1	2016-06-13	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NL4T.1	PP_002NL4T.1	2016-06-06	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NLAF.1	PP_002NLAF.1	2016-06-10	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKZ3.1	PP_002NKZ3.1	2016-06-01	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKNR.1	PP_002NKNR.1	2016-04-22	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NKX7.1	PP_002NKX7.1	2016-05-30	Argentina				15209	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NL8K.1	PP_002NL8K.1	2016-06-07	Argentina				15209	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NLG3.1	PP_002NLG3.1	2016-06-27	Argentina				15209	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NL7M.1	PP_002NL7M.1	2016-06-07	Argentina				15209	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NLW8.1	PP_002NLW8.1	2017-05-24	Argentina				15213	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NLZ2.1	PP_002NLZ2.1	2017-07-24	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NLTE.1	PP_002NLTE.1	2017-04-10	Argentina				15210	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NLX6.1	PP_002NLX6.1	2017-07-03	Argentina				15209	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NLUC.1	PP_002NLUC.1	2017-04-11	Argentina				15208	Homo sapiens	Human	B.D.4.1.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NLY4.1	PP_002NLY4.1	2017-07-07	Argentina				15208	Homo sapiens	Human	B.D.4.1	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002NLVA.1	PP_002NLVA.1	2017-05-11	Argentina				15173	Homo sapiens	Human	B.D.4	Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	2023-02-11
PP_002VZ16.1	PP_002VZ16.1	2024-05-20	Argentina				15222	Homo sapiens	Human	B.D.E.1	Acuna, D.; Irazoqui, M.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Viegas, M.	2024-11-25
PP_002VYYC.1	PP_002VYYC.1	2024-06-10	Argentina				15222	Homo sapiens	Human	B.D.E.1	Acuna, D.; Irazoqui, M.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Viegas, M.	2024-11-25
PP_002VYUL.1	PP_002VYUL.1	2024-06-18	Argentina				15222	Homo sapiens	Human	B.D.E.1	Acuna, D.; Irazoqui, M.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Viegas, M.	2024-11-25
PP_002VZ24.1	PP_002VZ24.1	2024-07-30	Argentina				15222	Homo sapiens	Human	B.D.E.1	Acuna, D.; Irazoqui, M.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Viegas, M.	2024-11-25
PP_002VYZA.1	PP_002VYZA.1	2024-05-23	Argentina				15222	Homo sapiens	Human	B.D.E.1	Acuna, D.; Irazoqui, M.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Viegas, M.	2024-11-25
PP_002VZ08.1	PP_002VZ08.1	2024-05-12	Argentina				15222	Homo sapiens	Human	B.D.E.1	Acuna, D.; Irazoqui, M.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Viegas, M.	2024-11-25
PP_002VYWG.1	PP_002VYWG.1	2024-06-28	Argentina				15222	Homo sapiens	Human	B.D.E.1	Acuna, D.; Irazoqui, M.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Viegas, M.	2024-11-25
PP_002VYTN.1	PP_002VYTN.1	2024-08-26	Argentina				15221	Homo sapiens	Human	B.D.E.1	Acuna, D.; Irazoqui, M.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Viegas, M.	2024-11-25
PP_002VYXE.1	PP_002VYXE.1	2024-08-15	Argentina				15215	Homo sapiens	Human	B.D.E.1	Acuna, D.; Irazoqui, M.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Viegas, M.	2024-11-25
PP_002VYVJ.1	PP_002VYVJ.1	2024-07-16	Argentina				15214	Homo sapiens	Human	B.D.E.1	Acuna, D.; Irazoqui, M.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Viegas, M.	2024-11-25
PP_002VX26.1	PP_002VX26.1	2024-07-29	Argentina				15222	Homo sapiens	Human	B.D.E.1.1	Acuna, D.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Irazoqui, M.; Viegas, M.	2024-10-28
PP_002VWHA.1	PP_002VWHA.1	2024-07-01	Argentina				15222	Homo sapiens	Human	B.D.E.1.1	Acuna, D.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Irazoqui, M.; Viegas, M.	2024-10-28
PP_002VX50.1	PP_002VX50.1	2024-06-22	Argentina				15222	Homo sapiens	Human	B.D.E.1.1	Acuna, D.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Irazoqui, M.; Viegas, M.	2024-10-28
PP_002VWBP.1	PP_002VWBP.1	2024-07-22	Argentina				15222	Homo sapiens	Human	B.D.E.1.1	Acuna, D.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Irazoqui, M.; Viegas, M.	2024-10-28
PP_002VX0A.1	PP_002VX0A.1	2024-08-02	Argentina				15222	Homo sapiens	Human	B.D.E.1.1	Acuna, D.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Irazoqui, M.; Viegas, M.	2024-10-28
PP_002VWM2.1	PP_002VWM2.1	2024-05-27	Argentina				15222	Homo sapiens	Human	B.D.E.1.1	Acuna, D.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Irazoqui, M.; Viegas, M.	2024-10-28
PP_002VWXG.1	PP_002VWXG.1	2024-07-29	Argentina				15222	Homo sapiens	Human	B.D.E.1.1	Acuna, D.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Irazoqui, M.; Viegas, M.	2024-10-28
PP_002VWQW.1	PP_002VWQW.1	2024-05-03	Argentina				15222	Homo sapiens	Human	B.D.E.1.1	Acuna, D.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Irazoqui, M.; Viegas, M.	2024-10-28
PP_002VWYE.1	PP_002VWYE.1	2024-08-06	Argentina				15222	Homo sapiens	Human	B.D.E.1.1	Acuna, D.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Irazoqui, M.; Viegas, M.	2024-10-28
PP_002VWPY.1	PP_002VWPY.1	2024-04-22	Argentina				15222	Homo sapiens	Human	B.D.E.1.1	Acuna, D.; Palau, M. J.; Vera, A.; Vescina, C. M.; Trevino, N. P.; Eguiguren, M. P.; Fernandez Gago, G.; Alancay, A.; Nadalich, V.; Angeletti, A.; Cordero, A.; Irazoqui, M.; Viegas, M.	2024-10-28
